dtm,f
2024-01-01 00:03:07,49.937
2024-01-01 00:03:08,49.937
2024-01-01 00:03:09,49.934
2024-01-01 00:03:10,49.933
2024-01-01 00:03:11,49.931
2024-01-01 00:03:12,49.929
2024-01-01 00:03:13,49.929
2024-01-01 00:03:14,49.926
2024-01-01 00:03:15,49.926
2024-01-01 00:03:16,49.924
2024-01-01 00:03:17,49.922
2024-01-01 00:03:18,49.919
2024-01-01 00:03:19,49.918
2024-01-01 00:03:20,49.921
2024-01-01 00:03:21,49.924
2024-01-01 00:03:22,49.927
2024-01-01 00:03:23,49.929
2024-01-01 00:03:24,49.931
2024-01-01 00:03:25,49.93
2024-01-01 00:03:26,49.929
2024-01-01 00:03:27,49.93
2024-01-01 00:03:28,49.93
2024-01-01 00:03:29,49.928
2024-01-01 00:03:30,49.926
2024-01-01 00:03:31,49.924
2024-01-01 00:03:32,49.921
2024-01-01 00:03:33,49.922
2024-01-01 00:03:34,49.921
2024-01-01 00:03:35,49.923
2024-01-01 00:03:36,49.923
2024-01-01 00:03:37,49.922
2024-01-01 00:03:38,49.92
2024-01-01 00:03:39,49.92
2024-01-01 00:03:40,49.92
2024-01-01 00:03:41,49.918
2024-01-01 00:03:42,49.919
2024-01-01 00:03:43,49.922
2024-01-01 00:03:44,49.925
2024-01-01 00:03:45,49.928
2024-01-01 00:03:46,49.929
2024-01-01 00:03:47,49.929
2024-01-01 00:03:48,49.928
2024-01-01 00:03:49,49.925
2024-01-01 00:03:50,49.926
2024-01-01 00:03:51,49.927
2024-01-01 00:03:52,49.923
2024-01-01 00:03:53,49.919
2024-01-01 00:03:54,49.913
2024-01-01 00:03:55,49.91
2024-01-01 00:03:56,49.907
2024-01-01 00:03:57,49.906
2024-01-01 00:03:58,49.906
2024-01-01 00:03:59,49.908
2024-01-01 00:04:00,49.909
2024-01-01 00:04:01,49.906
2024-01-01 00:04:02,49.906
2024-01-01 00:04:03,49.907
2024-01-01 00:04:04,49.906
2024-01-01 00:04:05,49.906
2024-01-01 00:04:06,49.91
2024-01-01 00:04:07,49.912
2024-01-01 00:04:08,49.911
2024-01-01 00:04:09,49.911
2024-01-01 00:04:10,49.912
2024-01-01 00:04:11,49.908
2024-01-01 00:04:12,49.905
2024-01-01 00:04:13,49.904
2024-01-01 00:04:14,49.903
2024-01-01 00:04:15,49.9
2024-01-01 00:04:16,49.9
2024-01-01 00:04:17,49.901
2024-01-01 00:04:18,49.905
2024-01-01 00:04:19,49.905
2024-01-01 00:04:20,49.904
2024-01-01 00:04:21,49.9
2024-01-01 00:04:22,49.897
2024-01-01 00:04:23,49.895
2024-01-01 00:04:24,49.895
2024-01-01 00:04:25,49.896
2024-01-01 00:04:26,49.899
2024-01-01 00:04:27,49.897
2024-01-01 00:04:28,49.895
2024-01-01 00:04:29,49.895
2024-01-01 00:04:30,49.896
2024-01-01 00:04:31,49.896
2024-01-01 00:04:32,49.896
2024-01-01 00:04:33,49.897
2024-01-01 00:04:34,49.896
2024-01-01 00:04:35,49.893
2024-01-01 00:04:36,49.891
2024-01-01 00:04:37,49.893
2024-01-01 00:04:38,49.892
2024-01-01 00:04:39,49.89
2024-01-01 00:04:40,49.89
2024-01-01 00:04:41,49.89
2024-01-01 00:04:42,49.886
2024-01-01 00:04:43,49.883
2024-01-01 00:04:44,49.882
2024-01-01 00:04:45,49.884
2024-01-01 00:04:46,49.884
2024-01-01 00:04:47,49.882
2024-01-01 00:04:48,49.88
2024-01-01 00:04:49,49.877
2024-01-01 00:04:50,49.874
2024-01-01 00:04:51,49.874
2024-01-01 00:04:52,49.875
2024-01-01 00:04:53,49.876
2024-01-01 00:04:54,49.878
2024-01-01 00:04:55,49.878
2024-01-01 00:04:56,49.88
2024-01-01 00:04:57,49.882
2024-01-01 00:04:58,49.881
2024-01-01 00:04:59,49.879
2024-01-01 00:05:00,49.878
2024-01-01 00:05:01,49.878
2024-01-01 00:05:02,49.875
2024-01-01 00:05:03,49.874
2024-01-01 00:05:04,49.875
2024-01-01 00:05:05,49.877
2024-01-01 00:05:06,49.878
2024-01-01 00:05:07,49.879
2024-01-01 00:05:08,49.877
2024-01-01 00:05:09,49.874
2024-01-01 00:05:10,49.873
2024-01-01 00:05:11,49.874
2024-01-01 00:05:12,49.873
2024-01-01 00:05:13,49.874
2024-01-01 00:05:14,49.873
2024-01-01 00:05:15,49.871
2024-01-01 00:05:16,49.872
2024-01-01 00:05:17,49.876
2024-01-01 00:05:18,49.874
2024-01-01 00:05:19,49.875
2024-01-01 00:05:20,49.878
2024-01-01 00:05:21,49.879
2024-01-01 00:05:22,49.879
2024-01-01 00:05:23,49.882
2024-01-01 00:05:24,49.887
2024-01-01 00:05:25,49.89
2024-01-01 00:05:26,49.892
2024-01-01 00:05:27,49.894
2024-01-01 00:05:28,49.896
2024-01-01 00:05:29,49.899
2024-01-01 00:05:30,49.905
2024-01-01 00:05:31,49.91
2024-01-01 00:05:32,49.919
2024-01-01 00:05:33,49.927
2024-01-01 00:05:34,49.932
2024-01-01 00:05:35,49.939
2024-01-01 00:05:36,49.939
2024-01-01 00:05:37,49.94
2024-01-01 00:05:38,49.936
2024-01-01 00:05:39,49.938
2024-01-01 00:05:40,49.938
2024-01-01 00:05:41,49.943
2024-01-01 00:05:42,49.943
2024-01-01 00:05:43,49.948
2024-01-01 00:05:44,49.951
2024-01-01 00:05:45,49.957
2024-01-01 00:05:46,49.957
2024-01-01 00:05:47,49.964
2024-01-01 00:05:48,49.966
2024-01-01 00:05:49,49.969
2024-01-01 00:05:50,49.968
2024-01-01 00:05:51,49.974
2024-01-01 00:05:52,49.972
2024-01-01 00:05:53,49.971
2024-01-01 00:05:54,49.969
2024-01-01 00:05:55,49.967
2024-01-01 00:05:56,49.962
2024-01-01 00:05:57,49.956
2024-01-01 00:05:58,49.95
2024-01-01 00:05:59,49.947
2024-01-01 00:06:00,49.945
2024-01-01 00:06:01,49.942
2024-01-01 00:06:02,49.939
2024-01-01 00:06:03,49.942
2024-01-01 00:06:04,49.945
2024-01-01 00:06:05,49.945
2024-01-01 00:06:06,49.946
2024-01-01 00:06:07,49.945
2024-01-01 00:06:08,49.94
2024-01-01 00:06:09,49.94
2024-01-01 00:06:10,49.941
2024-01-01 00:06:11,49.94
2024-01-01 00:06:12,49.94
2024-01-01 00:06:13,49.939
2024-01-01 00:06:14,49.941
2024-01-01 00:06:15,49.945
2024-01-01 00:06:16,49.945
2024-01-01 00:06:17,49.948
2024-01-01 00:06:18,49.946
2024-01-01 00:06:19,49.946
2024-01-01 00:06:20,49.942
2024-01-01 00:06:21,49.938
2024-01-01 00:06:22,49.936
2024-01-01 00:06:23,49.938
2024-01-01 00:06:24,49.937
2024-01-01 00:06:25,49.94
2024-01-01 00:06:26,49.946
2024-01-01 00:06:27,49.949
2024-01-01 00:06:28,49.951
2024-01-01 00:06:29,49.957
2024-01-01 00:06:30,49.963
2024-01-01 00:06:31,49.967
2024-01-01 00:06:32,49.968
2024-01-01 00:06:33,49.97
2024-01-01 00:06:34,49.973
2024-01-01 00:06:35,49.972
2024-01-01 00:06:36,49.969
2024-01-01 00:06:37,49.968
2024-01-01 00:06:38,49.97
2024-01-01 00:06:39,49.968
2024-01-01 00:06:40,49.972
2024-01-01 00:06:41,49.975
2024-01-01 00:06:42,49.979
2024-01-01 00:06:43,49.981
2024-01-01 00:06:44,49.98
2024-01-01 00:06:45,49.982
2024-01-01 00:06:46,49.983
2024-01-01 00:06:47,49.978
2024-01-01 00:06:48,49.976
2024-01-01 00:06:49,49.98
2024-01-01 00:06:50,49.981
2024-01-01 00:06:51,49.979
2024-01-01 00:06:52,49.98
2024-01-01 00:06:53,49.981
2024-01-01 00:06:54,49.977
2024-01-01 00:06:55,49.977
2024-01-01 00:06:56,49.975
2024-01-01 00:06:57,49.969
2024-01-01 00:06:58,49.964
2024-01-01 00:06:59,49.954
2024-01-01 00:07:00,49.946
2024-01-01 00:07:01,49.941
2024-01-01 00:07:02,49.937
2024-01-01 00:07:03,49.936
2024-01-01 00:07:04,49.938
2024-01-01 00:07:05,49.939
2024-01-01 00:07:06,49.94
2024-01-01 00:07:07,49.94
2024-01-01 00:07:08,49.943
2024-01-01 00:07:09,49.943
2024-01-01 00:07:10,49.94
2024-01-01 00:07:11,49.941
2024-01-01 00:07:12,49.939
2024-01-01 00:07:13,49.94
2024-01-01 00:07:14,49.94
2024-01-01 00:07:15,49.935
2024-01-01 00:07:16,49.934
2024-01-01 00:07:17,49.932
2024-01-01 00:07:18,49.928
2024-01-01 00:07:19,49.926
2024-01-01 00:07:20,49.926
2024-01-01 00:07:21,49.924
2024-01-01 00:07:22,49.921
2024-01-01 00:07:23,49.922
2024-01-01 00:07:24,49.92
2024-01-01 00:07:25,49.916
2024-01-01 00:07:26,49.915
2024-01-01 00:07:27,49.917
2024-01-01 00:07:28,49.915
2024-01-01 00:07:29,49.915
2024-01-01 00:07:30,49.911
2024-01-01 00:07:31,49.91
2024-01-01 00:07:32,49.911
2024-01-01 00:07:33,49.911
2024-01-01 00:07:34,49.913
2024-01-01 00:07:35,49.913
2024-01-01 00:07:36,49.915
2024-01-01 00:07:37,49.916
2024-01-01 00:07:38,49.914
2024-01-01 00:07:39,49.917
2024-01-01 00:07:40,49.917
2024-01-01 00:07:41,49.914
2024-01-01 00:07:42,49.914
2024-01-01 00:07:43,49.913
2024-01-01 00:07:44,49.911
2024-01-01 00:07:45,49.908
2024-01-01 00:07:46,49.907
2024-01-01 00:07:47,49.904
2024-01-01 00:07:48,49.9
2024-01-01 00:07:49,49.897
2024-01-01 00:07:50,49.897
2024-01-01 00:07:51,49.9
2024-01-01 00:07:52,49.9
2024-01-01 00:07:53,49.898
2024-01-01 00:07:54,49.9
2024-01-01 00:07:55,49.901
2024-01-01 00:07:56,49.902
2024-01-01 00:07:57,49.902
2024-01-01 00:07:58,49.903
2024-01-01 00:07:59,49.907
2024-01-01 00:08:00,49.909
2024-01-01 00:08:01,49.906
2024-01-01 00:08:02,49.908
2024-01-01 00:08:03,49.908
2024-01-01 00:08:04,49.905
2024-01-01 00:08:05,49.904
2024-01-01 00:08:06,49.903
2024-01-01 00:08:07,49.9
2024-01-01 00:08:08,49.899
2024-01-01 00:08:09,49.899
2024-01-01 00:08:10,49.898
2024-01-01 00:08:11,49.898
2024-01-01 00:08:12,49.894
2024-01-01 00:08:13,49.893
2024-01-01 00:08:14,49.892
2024-01-01 00:08:15,49.891
2024-01-01 00:08:16,49.895
2024-01-01 00:08:17,49.895
2024-01-01 00:08:18,49.894
2024-01-01 00:08:19,49.892
2024-01-01 00:08:20,49.891
2024-01-01 00:08:21,49.889
2024-01-01 00:08:22,49.886
2024-01-01 00:08:23,49.886
2024-01-01 00:08:24,49.884
2024-01-01 00:08:25,49.884
2024-01-01 00:08:26,49.884
2024-01-01 00:08:27,49.884
2024-01-01 00:08:28,49.883
